date,Residential,Grocery & pharmacy,Parks,Retail - recreation,Workplaces,Transit stations
2020-02-16,0.0,0.05014577259475305,0.04711370262390767,0.03265306122449063,-0.005830903790087471,0.04268221574344124
2020-02-17,0.008163265306122991,0.055043731778426044,0.10915451895043762,0.009096209912537463,-0.07696793002915356,-0.03078717201166169
2020-02-18,0.009562682215744037,0.050612244897959624,0.1250145772594757,0.002332361516035519,-0.0681049562682207,-0.026822157434401837
2020-02-19,0.009562682215744037,0.07556851311953384,0.10845481049562776,-0.0032653061224486657,-0.06600583090378981,-0.031020408163264977
2020-02-20,0.009795918367347323,0.051311953352770806,0.11428571428571523,-0.014927113702623607,-0.06740524781341085,-0.027521865889211697
2020-02-21,0.016326530612245982,0.05014577259475305,0.10495626822157449,-0.02775510204081631,-0.07020408163265295,-0.05737609329446024
2020-02-22,0.004198250728863139,0.04664723032069977,0.08536443148688116,-0.0020991253644309063,-0.02192419825072884,-0.01189504373177823
2020-02-23,0.011428571428571656,0.043381924198251105,-0.025889212827987364,-0.01072886297376047,-0.0172594752186578,0.005131195335277611
2020-02-24,0.017492711370262412,0.027988338192420924,-0.0403498542274044,-0.013760932944605848,-0.023323615160349885,-0.03311953352769588
2020-02-25,0.013294460641400602,0.03218658892128406,0.011895043731779555,-0.005597667638482858,-0.010262390670553897,-0.009096209912536136
2020-02-26,0.015393586005831508,0.028454810495627498,-0.029154518950437358,-0.02845481049562617,0.002099125364432232,-0.00956268221574271
2020-02-27,0.015626822157434793,0.031020408163266303,-0.042915451895043207,-0.012128279883381516,0.013294460641400602,0.0018658892128289454
2020-02-28,0.01002915451895061,0.08536443148688116,-0.02448979591836632,0.058075801749271426,0.021457725947522266,0.0018658892128289454
2020-02-29,0.0032653061224499915,0.12081632653061257,-0.0788338192419825,0.1254810495626836,0.0018658892128289454,0.053177842565598425
2020-03-01,0.022390670553936738,0.15393586005830978,-0.1476384839650144,0.1098542274052488,0.011661807580174943,0.0739358600583095
2020-03-02,0.0013994169096210461,0.08909620991253772,-0.1457725947521868,0.046880466472304386,0.11288629737609418,0.021457725947522266
2020-03-03,0.0,0.10029154518950477,-0.14437317784256573,0.04478134110787215,0.12431486880466584,0.03241982507288735
2020-03-04,-0.0025655976676374798,0.08816326530612326,-0.15696793002915382,0.005364431486880898,0.13690962099125392,0.04594752186588991
2020-03-05,-0.004897959183672998,0.04431486880466558,-0.1525364431486874,-0.010495626822157184,0.15137026239067097,0.05271137026239185
2020-03-06,-0.0018658892128276196,0.04664723032069977,-0.12478134110787109,0.006530612244898658,0.15860058309037947,0.0359183673469393
2020-03-07,0.027521865889213022,0.07020408163265426,-0.1961516034985418,0.06553935860058323,0.03358600583090378,0.015160349854228221
2020-03-08,0.048746355685132005,0.06950437317784308,-0.0837317784256555,0.04897959183673529,-0.007463556851311804,0.11568513119533629
2020-03-09,-0.004664723032069711,0.020991253644315692,-0.13411078717201183,-0.031720116618074834,0.16419825072886368,0.045014577259475434
2020-03-10,-0.019125364431486748,0.011195335276968369,-0.17096209912536428,-0.02542274052478079,0.17306122448979652,0.0692711370262398
2020-03-11,-0.0018658892128276196,-0.004664723032069711,-0.1912536443148688,-0.0837317784256555,0.16489795918367486,0.06180758017492799
2020-03-12,-0.006763848396500618,-0.013994169096209135,-0.21224489795918317,-0.07113702623906609,0.1683965014577268,0.053177842565598425
2020-03-13,-0.007463556851311804,0.04734693877551096,-0.170728862973761,-0.030553935860058404,0.17002915451895115,0.03265306122449063
2020-03-14,0.030787172011663016,0.08839650145772654,-0.21061224489795882,0.009562682215744037,0.03545189504373273,-0.010029154518949283
2020-03-15,0.05760932944606485,0.1683965014577268,-0.2943440233236143,-0.10075801749271135,-0.01189504373177823,-0.06460641399416876
2020-03-16,0.0685714285714286,0.1581341107871729,-0.34262390670553977,-0.20221574344023255,0.017959183673470314,-0.17655976676384846
2020-03-17,0.11172011661807643,0.010495626822158509,-0.3906705539358606,-0.3083381924198248,-0.1117201166180751,-0.27125364431486904
2020-03-18,0.1425072886297381,0.020758017492712406,-0.4515451895043728,-0.37737609329446,-0.18262390670553924,-0.3237317784256563
2020-03-19,0.18868804664723132,-0.17422740524781294,-0.5026239067055389,-0.5131195335276975,-0.27475218658892103,-0.4132944606413993
2020-03-20,0.22577259475218706,-0.21387755102040748,-0.5380758017492717,-0.5427405247813414,-0.30857142857142805,-0.46507288629737664
2020-03-21,0.2204081632653075,-0.31440233236151555,-0.6598250728862974,-0.6290379008746357,-0.3230320699708451,-0.5049562682215745
2020-03-22,0.22297376093294496,-0.45434402332361484,-0.7155685131195333,-0.7160349854227412,-0.3804081632653067,-0.5816909620991261
2020-03-23,0.24326530612244945,-0.37714285714285667,-0.6050145772594759,-0.6241399416909628,-0.4051311953352763,-0.5588338192419827
2020-03-24,0.2476967930029159,-0.38064139941690994,-0.6099125364431489,-0.6351020408163265,-0.43848396501457676,-0.5709620991253643
2020-03-25,0.25609329446064216,-0.3619825072886298,-0.6094460641399424,-0.6355685131195343,-0.44454810495626884,-0.572128279883382
2020-03-26,0.25026239067055467,-0.3158017492711366,-0.5914868804664721,-0.6127113702623911,-0.4394169096209912,-0.544606413994169
2020-03-27,0.3134693877551024,-0.40886297376093284,-0.6434985422740528,-0.6742857142857145,-0.5047230320699712,-0.6451311953352771
2020-03-28,0.2549271137026244,-0.4125947521865894,-0.6936443148688045,-0.6833819241982506,-0.4268221574344018,-0.6073469387755102
2020-03-29,0.2379008746355699,-0.5471720116618078,-0.7209329446064142,-0.7335276967930037,-0.4233236151603499,-0.6355685131195343
